gene_id	gene_name	sampleGSM461176	sampleGSM461177	sampleGSM461178	sampleGSM461179	sampleGSM461180	sampleGSM461181	sampleGSM461182
FBgn0267303	lncRNA:CR45739	0	0	0	0	0	0	0
FBgn0035545	CG12607	0	0	0	0	0	0	0
FBgn0035546	CG11345	0	0	0	1	0	0	0
FBgn0035547	CG15022	0	0	0	0	0	0	0
FBgn0035548	CG15023	0	0	0	0	0	0	1
FBgn0040699	CG15024	0	0	0	0	0	0	0
FBgn0052241	CG32241	0	3	3	0	0	1	0
FBgn0052249	CG32249	0	0	0	0	0	1	0
FBgn0052248	CG32248	0	0	0	0	0	0	0
FBgn0035550	CG11349	0	0	0	0	0	0	0
FBgn0035551	CG7465	0	0	0	0	0	0	0
FBgn0035552	CG11350	0	0	0	0	2	0	0
FBgn0035553	CG13722	2	0	2	1	2	8	2
FBgn0265920	lncRNA:CR44709	0	0	0	0	0	0	0
FBgn0035554	CG13721	0	0	0	0	0	0	0
FBgn0035555	CG13720	0	0	0	0	0	0	0
FBgn0261526	NT1	0	0	0	0	0	0	1
FBgn0014073	Tie	6	8	8	4	1	2	6
FBgn0035557	CG11353	4	8	8	2	3	2	16
FBgn0052243	CG32243	572	580	590	777	602	747	1078
FBgn0035558	CG11357	5535	7593	6993	5012	6260	7726	9052
FBgn0053777	CG33777	1	0	0	2	2	2	2
FBgn0260657	CG42540	79	64	39	70	63	78	82
FBgn0262733	Src64B	182	232	161	743	824	962	154
FBgn0052246	CG32246	0	2	0	2	2	2	0
FBgn0266987	lncRNA:CR45438	31	61	60	32	76	121	149
FBgn0015805	HDAC1	1313	1961	2028	1482	2590	3185	2670
FBgn0262870	axo	36	64	70	11	21	16	41
FBgn0035563	CG13716	1	0	0	0	0	0	0
FBgn0052238	TTLL1B	1	0	0	0	0	0	0
FBgn0267480	asRNA:CR45830	1	6	4	0	1	2	1
FBgn0046793	CG32236	0	0	0	0	0	0	0
FBgn0085295	CG34266	0	0	0	0	0	0	0
FBgn0035567	CG7514	0	0	0	0	0	0	0
FBgn0035568	CG18418	0	0	0	0	0	0	0
FBgn0035574	RhoGEF64C	33	20	10	28	7	18	10
FBgn0035569	CG15876	0	0	2	0	0	0	0
FBgn0042199	CG13713	0	0	0	0	0	0	0
FBgn0264471	lncRNA:CR43879	0	0	0	0	0	0	0
FBgn0035570	CG13712	0	0	0	0	0	0	0
FBgn0267645	lncRNA:CR45983	0	0	0	0	0	0	0
FBgn0264474	lncRNA:CR43882	0	0	0	0	0	0	0
FBgn0267646	lncRNA:CR45984	0	0	0	0	0	0	0
FBgn0035571	CG12493	25	8	2	21	4	12	4
FBgn0264473	lncRNA:CR43881	0	0	0	0	0	0	0
FBgn0035572	CG13711	0	0	0	0	0	0	0
FBgn0267471	lncRNA:CR45821	0	0	0	0	0	0	0
FBgn0267304	lncRNA:CR45740	0	0	0	0	0	0	0
FBgn0265721	lncRNA:CR44528	0	0	0	0	0	0	0
FBgn0035575	CG7509	7	10	6	3	4	4	7
FBgn0042131	CG18808	5	11	6	10	6	5	2
FBgn0261797	Dhc64C	7030	11540	9715	7479	12384	12982	10828
FBgn0027085	LeuRS-m	365	509	484	376	559	678	516
FBgn0035577	CG13708	9	10	14	16	19	16	8
FBgn0035578	CG13707	2	0	0	1	2	2	0
FBgn0052237	CG32237	1	0	0	0	0	2	1
FBgn0047330	CG32235	2	0	0	1	0	0	0
FBgn0035581	Dnah3	14	16	13	15	19	20	5
FBgn0035582	CG13705	2	6	6	4	6	7	2
FBgn0035583	hoka	0	0	1	0	0	0	0
FBgn0028699	Rh50	1	0	2	1	2	1	1
